epoch,strategy,arm,current reward,cumulative reward,optimal
1,Epsilon Greedy,0,129.46130543672024,129.46130543672024,False
2,Epsilon Greedy,0,130.70128129378097,260.1625867305012,False
3,Epsilon Greedy,0,130.84263098870355,391.0052177192047,False
4,Epsilon Greedy,0,127.67736917373202,518.6825868929368,False
5,Epsilon Greedy,0,128.67589833375158,647.3584852266883,False
6,Epsilon Greedy,0,130.05057501592754,777.4090602426159,False
7,Epsilon Greedy,3,179.72808161121083,957.1371418538267,True
8,Epsilon Greedy,3,180.30313007176503,1137.4402719255918,True
9,Epsilon Greedy,3,181.11977823125653,1318.5600501568483,True
10,Epsilon Greedy,3,180.21795917447156,1498.77800933132,True
11,Epsilon Greedy,3,178.15234739420623,1676.930356725526,True
12,Epsilon Greedy,5,144.10702977173207,1821.037386497258,False
13,Epsilon Greedy,3,180.7297363231347,2001.7671228203926,True
14,Epsilon Greedy,3,177.00586670394614,2178.7729895243388,True
15,Epsilon Greedy,3,179.3616210406044,2358.134610564943,True
16,Epsilon Greedy,3,178.96791526762487,2537.102525832568,True
17,Epsilon Greedy,3,179.75378913367157,2716.8563149662396,True
18,Epsilon Greedy,6,143.17754781785914,2860.033862784099,False
19,Epsilon Greedy,3,178.70938085528556,3038.743243639384,True
20,Epsilon Greedy,8,34.31798248367862,3073.0612261230626,False
21,Epsilon Greedy,0,130.60254413587484,3203.6637702589373,False
22,Epsilon Greedy,2,105.40602228927432,3309.069792548212,False
23,Epsilon Greedy,3,179.29778814567572,3488.3675806938877,True
24,Epsilon Greedy,3,179.8811189525063,3668.248699646394,True
25,Epsilon Greedy,3,179.27872858927424,3847.527428235668,True
26,Epsilon Greedy,0,130.33748817928029,3977.8649164149483,False
27,Epsilon Greedy,0,129.71856355721897,4107.583479972167,False
28,Epsilon Greedy,3,178.97111297027223,4286.554592942439,True
29,Epsilon Greedy,0,129.21832539501625,4415.772918337455,False
30,Epsilon Greedy,3,178.98654800980822,4594.759466347263,True
31,Epsilon Greedy,4,139.36487659364315,4734.124342940906,False
32,Epsilon Greedy,4,140.40490207500082,4874.529245015907,False
33,Epsilon Greedy,3,179.28420491214032,5053.813449928047,True
34,Epsilon Greedy,3,180.03958970533012,5233.853039633377,True
35,Epsilon Greedy,3,178.92054184663897,5412.773581480016,True
36,Epsilon Greedy,3,178.45184056156916,5591.225422041585,True
37,Epsilon Greedy,3,178.19944661507265,5769.424868656658,True
