epoch,strategy,arm,current reward,cumulative reward,optimal
92,Explore,8,2.943883756391641,568.2296259404504,False
93,Explore,0,7.448987815909499,575.6786137563599,False
94,Explore,1,6.6580936276629705,582.3367073840229,False
95,Explore,8,3.811798940005847,586.1485063240287,False
96,Explore,1,5.068792481045145,591.2172988050739,False
97,Explore,2,5.783061706481573,597.0003605115555,False
98,Explore,7,1.4606275931288133,598.4609881046844,False
99,Explore,7,2.2165177983029114,600.6775059029873,False
100,Explore,4,8.814622641686295,609.4921285446735,False
101,Explore,3,12.11541321826813,621.6075417629417,False
102,Explore,0,7.487788055935834,629.0953298188775,False
103,Explore,1,6.60179651618374,635.6971263350613,False
104,Explore,1,6.445749551433665,642.142875886495,False
105,Explore,10,10.967013099095055,653.10988898559,True
106,Explore,4,9.936545425089859,663.0464344106799,False
107,Explore,0,7.569062275363163,670.6154966860431,False
108,Explore,1,6.637148881802414,677.2526455678455,False
109,Explore,7,3.3881011992468046,680.6407467670923,False
110,Explore,0,8.181509965097543,688.8222567321899,False
111,Explore,7,1.7575514477338936,690.5798081799238,False
112,Explore,8,2.9178027859370967,693.4976109658609,False
113,Explore,1,7.4333037537625435,700.9309147196234,False
114,Explore,7,2.013570172735624,702.944484892359,False
115,Explore,9,6.8719223908994325,709.8164072832584,False
116,Explore,9,3.3481981142750272,713.1646053975335,False
117,Explore,8,2.6463191464703764,715.8109245440039,False
118,Explore,6,9.724388956051138,725.535313500055,False
119,Explore,8,0.5643078447371261,726.0996213447921,False
120,Explore,10,13.11745656327204,739.2170779080642,True
121,Explore,0,8.741451181212678,747.9585290892769,False
122,Explore,4,9.815365867033027,757.77389495631,False
123,Explore,1,5.725292265124242,763.4991872214342,False
124,Explore,3,11.652986541353613,775.1521737627878,False
125,Explore,7,1.985232421296332,777.1374061840842,False
126,Explore,7,3.4965239655061913,780.6339301495904,False
127,Explore,2,6.615543445709145,787.2494735952995,False
128,Explore,6,9.333368617098547,796.5828422123981,False
129,Explore,6,9.103944999737028,805.6867872121351,False
130,Explore,10,10.209705401282484,815.8964926134175,True
131,Explore,6,9.874771303742426,825.77126391716,False
132,Explore,9,6.2976428838537215,832.0689068010138,False
133,Explore,0,6.858103818257533,838.9270106192713,False
134,Explore,1,6.495295515354148,845.4223061346255,False
135,Explore,6,8.656862791284894,854.0791689259104,False
136,Explore,6,10.477397160534991,864.5565660864454,False
137,Explore,1,5.89749943039992,870.4540655168453,False
138,Explore,2,6.3112855529564555,876.7653510698017,False
139,Explore,4,9.276884814023525,886.0422358838252,False
140,Explore,10,12.621393964996555,898.6636298488218,True
141,Explore,6,8.008548737907358,906.6721785867292,False
142,Explore,0,8.876941273862185,915.5491198605913,False
143,Explore,7,2.838115947520235,918.3872358081115,False
144,Explore,7,5.637840029568039,924.0250758376795,False
145,Explore,10,9.140627520616766,933.1657033582964,True
146,Explore,6,8.737507413404883,941.9032107717012,False
147,Explore,4,9.47901550173091,951.3822262734321,False
148,Explore,0,7.404491821300742,958.7867180947329,False
149,Explore,0,10.074276002121184,968.8609940968541,False
150,Explore,11,-1.3136973869490043,967.5472967099051,False
151,Explore,8,-0.3153665091236153,967.2319302007816,False
152,Explore,6,7.903581162079472,975.135511362861,False
153,Explore,8,3.32692479272351,978.4624361555846,False
154,Explore,3,12.024805154965028,990.4872413105496,False
155,Explore,10,12.309608446327502,1002.7968497568771,True
156,Explore,6,8.549012488342496,1011.3458622452196,False
157,Explore,10,12.053758270263979,1023.3996205154835,True
158,Explore,11,0.05061965989506825,1023.4502401753787,False
159,Explore,9,5.793679884385183,1029.243920059764,False
160,Explore,4,10.5551812945557,1039.7991013543196,False
161,Explore,8,1.413544437703428,1041.212645792023,False
162,Explore,2,8.900729384079957,1050.113375176103,False
163,Explore,2,7.04385729976259,1057.1572324758656,False
164,Explore,2,6.887285789499515,1064.0445182653652,False
165,Explore,6,9.011295041468642,1073.055813306834,False
166,Explore,1,7.424844300857667,1080.4806576076915,False
167,Explore,0,7.50014752741694,1087.9808051351083,False
168,Explore,5,9.864628920007732,1097.8454340551161,False
169,Explore,2,6.177764615892988,1104.0231986710091,False
170,Explore,6,9.757102319952489,1113.7803009909617,False
171,Explore,6,9.314526956996657,1123.0948279479583,False
172,Explore,4,9.418065995018363,1132.5128939429767,False
173,Explore,3,10.55436463340366,1143.0672585763803,False
174,Explore,2,7.202367394459138,1150.2696259708393,False
175,Explore,6,9.886112363395887,1160.1557383342351,False
176,Explore,3,10.790522839511576,1170.9462611737467,False
177,Explore,0,7.314732681313724,1178.2609938550604,False
178,Explore,4,7.931528194404556,1186.192522049465,False
179,Explore,0,7.228855376132462,1193.4213774255975,False
180,Explore,2,5.4808668742175435,1198.902244299815,False
181,Explore,0,7.311413197354943,1206.21365749717,False
182,Explore,2,7.941905015776197,1214.1555625129463,False
183,Explore,9,6.994382472331544,1221.149944985278,False
184,Explore,0,7.820615427388345,1228.9705604126661,False
185,Explore,1,5.862610708639346,1234.8331711213054,False
186,Explore,6,10.740008447786405,1245.5731795690917,False
187,Explore,5,11.276379327221077,1256.8495588963128,False
188,Explore,5,8.882098716188738,1265.7316576125015,False
189,Explore,3,13.04250574779637,1278.774163360298,False
190,Explore,4,9.730215670677744,1288.5043790309758,False
191,Explore,6,8.700612392529065,1297.204991423505,False
192,Explore,7,4.224401870517841,1301.4293932940227,False
193,Explore,11,-0.9916264045215054,1300.4377668895013,False
194,Explore,0,8.520191398861508,1308.9579582883628,False
195,Explore,1,7.435085857532812,1316.3930441458956,False
196,Explore,3,10.804614628496996,1327.1976587743925,False
197,Explore,11,-0.5830778823862852,1326.6145808920062,False
198,Explore,11,-0.5371016333771585,1326.077479258629,False
199,Explore,6,9.51757593688667,1335.5950551955157,False
200,Explore,4,9.55935352754157,1345.1544087230573,False
201,Explore,8,0.6750854239592261,1345.8294941470165,False
202,Explore,9,6.854895247498415,1352.684389394515,False
203,Explore,10,12.194269169282979,1364.878658563798,True
204,Explore,8,3.0318548276258985,1367.9105133914238,False
205,Explore,7,3.1686987516662217,1371.07921214309,False
206,Explore,7,0.5782487359087036,1371.6574608789988,False
207,Explore,11,-1.2976541148133531,1370.3598067641854,False
208,Explore,4,8.689729765968172,1379.0495365301535,False
209,Explore,0,7.950206180082327,1386.999742710236,False
210,Explore,8,2.053374544097537,1389.0531172543335,False
211,Explore,5,7.684232249312626,1396.737349503646,False
212,Explore,6,7.787931687727604,1404.5252811913738,False
213,Explore,11,-1.210733583167984,1403.3145476082059,False
214,Explore,0,7.154558887577425,1410.4691064957833,False
215,Explore,4,10.391244925375938,1420.8603514211593,False
216,Explore,11,-1.1340201323743795,1419.7263312887849,False
217,Explore,0,7.8200816744550385,1427.5464129632398,False
218,Explore,7,2.663045442962326,1430.2094584062022,False
219,Explore,11,-1.8151069390615415,1428.3943514671407,False
220,Explore,4,8.662063644116536,1437.0564151112574,False
221,Explore,2,6.0769426435890725,1443.1333577548464,False
222,Explore,0,8.732915485061426,1451.866273239908,False
223,Explore,9,3.781697591888522,1455.6479708317966,False
224,Explore,2,5.475913294168256,1461.1238841259649,False
225,Explore,5,8.86244121551539,1469.9863253414803,False
226,Explore,11,-1.3496915668853466,1468.6366337745949,False
227,Explore,8,2.079466911421728,1470.7161006860167,False
228,Explore,4,9.49365116831552,1480.2097518543321,False
229,Explore,7,3.1247662681468875,1483.334518122479,False
230,Explore,0,9.57276663397023,1492.9072847564494,False
231,Explore,4,9.295300026790192,1502.2025847832397,False
232,Explore,2,6.270357839229429,1508.4729426224692,False
